<<<<<<< HEAD
,Website,Domain,Comments
106,anews24.org/,anews24.org/,", fake news, fake, "
107,angrypatriotmovement,angrypatriotmovement.com,", fake news, conspiracy, fake, "
108,The Angry Patriot,angrypatriotmovement.com,"questionable, "
109,Anonymous,anonews.co,"pseudoscience, "
110,anonhq,anonhq.com,", unreliable, "
111,anonjekloy.tk,anonjekloy.tk,", fake news, fake, "
112,We Are Anonymous,anonjekloy.tk,"pseudoscience, "
113,anonews,anonnews.co,", unreliable, "
114,Another Day in the Empire,anotherdayintheempire.com,"pseudoscience, bias, conspiracy, "
115,Answers in Genesis,answersingenesis.org,"pseudoscience, "
116,Anti-War,antiwar.com,"right_center, bias, unreliable, site is biased but very open about bias and source"
117,antoniusaquinas.wp,antoniusaquinas.wp.com,", bias, conspiracy, "
118,AOL,aol.com,"left_center, "
119,Associated Press,apnews.com,"least_biased, "
120,Arab News,arabnews.com,"right_center, "
121,Ara News,aranews.net,"left_center, "
122,Archaeology Magazine,archaeology.org,"pro_science, "
123,Arkansas Democrat-Gazette,arkansasonline.com,"right_center, "
124,Ars Technica,arstechnica.com,"pro_science, "
125,A Sheep No More,asheepnomore.net,"pseudoscience, "
126,Asia-Pacific Research,asia-pacificresearch.com,"pseudoscience, unreliable, satire, "
127,Assassination Science,assassinationscience.com,"pseudoscience, conspiracy, junksci, "
128,associatedmediacoverage,associatedmediacoverage.com,", parody site, satire, "
129,Atlantic Council,atlanticcouncil.com,"least_biased, "
130,Atlantic Media,atlanticmedia.com,"left_center, "
131,The Atlanta Banana,atlbanana.com,"satire, "
132,Atomic Monkey,atomicmonkey.wordpress.com/tag/political-satire,"satire, "
133,ATTN:,attn.com,"left_center, political, clickbait, "
134,aurora-news.us,aurora-news.us,", imposter site, fake, "
135,Autistic Self Advocacy Network,autisticadvocacy.org,"pro_science, "
136,automaticearth,automaticearth.com,", unreliable, links to MSM sources and unreliable sources"
137,automotostar,automotostar.com,", clickbait, "
138,A Voice for Men,avoiceformen.com,"questionable, "
139,Awareness Act,awarenessact.com,"pseudoscience, conspiracy, junksci, "
140,awazetribune,awazetribune.com,", satire, "
141,AwdNews,awdnews.com,"pseudoscience, conspiracy, twitter account deleted?"
142,American Web Media (AWM),awm.com,"right, "
143,awm,awm.com,", unreliable, bias, clickbait, "
144,Axios,axios.com,"left_center, "
145,Arizona Republic,azcentral.com,"right_center, "
146,Babylon Bee,babylonbee.com,"satire, "
147,BackChannel,backchannel.com,"left_center, "
148,Backed by Fact,backedbyfact.com,"left, "
149,Ballotpedia,ballotpedia.org,"least_biased, "
150,Baltimore Sun,baltimoresun.com,"left_center, "
151,baptistnews,baptistnews.com,", political, circulates generally reliable information from a p.o.v. but not at the expense of informational integrity"
152,Baptist News Global,baptistnews.com,"left_center, "
153,Bare Naked Islam,barenakedislam.com,"questionable, hate, "
154,BB4SP,bb4sp.com,"questionable, fake news, conspiracy, bias, fake, "
155,BBC,bbc.com/news,"left_center, "
156,BDNews24,bdnews24.com,"least_biased, "
157,beehivebugle,beehivebugle.com,", satire, "
158,Before It’s News,beforeitsnews.com,"questionable, fake news, fake, conspiracy, rumor, "
159,Being Libertarian,beinglibertarian.com,"right, "
160,Bellingcat,bellingcat.com,"least_biased, "
161,Berkshire Eagle,berkshireeagle.com,"left_center, "
162,betootaadvocate,betootaadvocate.com,", satire, "
163,Better Government Association,bettergov.org,"least_biased, "
164,Boy Genius Report (BGR),bgr.com,"left_center, "
165,bients,bients.com,", clickbait, "
166,Big American News,bigamericannews.com,"satire, satire, fake, "
167,bigbluedimension,bigbluedimension.com,", rumor, bias, "
168,Big Blue Vision,bigbluevision.com,"questionable, hate, "
169,Big Government News,biggovernment.news,"right, "
170,bighairynews,bighairynews.com,", fake, conspiracy, "
171,bignuggetnews,bignuggetnews.com,", bias, rumor, "
172,Big Think,bigthink.com,"least_biased, "
173,BillMoyers.com,billmoyers.com,"left_center, "
174,Bipartisan Report,bipartisanreport.com,"questionable, clickbait, bias, "
175,Bitch Media,bitchmedia.org,"left, "
176,Bizpac Review,bizpacreview.com,"right, "
177,Business Standard News (BS News),bizstandardnews.com,"satire, "
178,Beijing Review,bjreview.com,"left_center, "
179,Black Agenda Report,blackagendareport.com,"left, unreliable, anon submissions"
180,Black Genocide,blackgenocide.org,"questionable, conspiracy, bias, hate, "
181,blackinsurancenews,blackinsurancenews.com,", some fake stories, fake, unreliable, "
182,Blacklisted News,blacklistednews.com,"pseudoscience, clickbait, unreliable, "
183,Black Lives Matter,blacklivesmatter.com,"left, "
184,Countable News,blog.countable.us,"least_biased, "
185,Vanguard America,bloodandsoil.org,"questionable, "
186,Bloomberg,bloomberg.com,"left_center, "
187,The Blue Route,blue-route.org,"left, "
188,Blue Dot Daily,bluedotdaily.com,"left, "
189,Blue Lives Matter,bluelivesmatter.blue,"right, "
190,Blue Nation Review,bluenationreview.com,"left, clickbait, unreliable, "
191,Bluestem Prairie,bluestemprairie.com,"left_center, "
192,bluevision.news,bluevision.news,", fake news, "
193,bluevisionpost,bluevisionpost.com,", fake news, "
194,boilingfrogspost,boilingfrogspost.com,", unreliable, links to natural news, blacklist news, some conspiracy sites"
195,Boing Boing,boingboing.net,"left, "
196,borowitzreport,borowitzreport.com,", satire, "
197,Boston Globe,bostonglobe.com,"left_center, "
198,Boston Herald,bostonherald.com,"right_center, "
199,bostonleader,bostonleader.com,", parody site, fake, "
200,The Boston Tribune,bostontribune.com,"questionable, parody site, fake, "
201,breaking911,breaking911.com,", clickbait, unreliable, "
202,Breaking Defense,breakingdefense.com,"right_center, "
203,breakpoint,breakpoint.org,", unreliable, "
204,HL12,breakthrough.holylandnutrition.com,"pseudoscience, "
205,Breitbart,breitbart.com,"right, political, unreliable, bias, "
206,Breitbart Unmasked,breitbartunmasked.com,"left, "
207,Bridge Magazine,bridgemi.com,"least_biased, "
208,Brief.News,brief.news,"least_biased, "
209,Broken World News,brokenworldnews.com,"satire, "
210,Brookings Institute,brookings.edu,"left_center, "
211,brotherjohnf,brotherjohnf.com,", bias, conspiracy, "
212,Buffalo News,buffalonews.com,"left_center, "
213,bullionbullscanada,bullionbullscanada.com,", conspiracy, The ""one"" bank"
214,Burrard Street Journal,burrardstreetjournal.com,"satire, satire, "
215,Business Insider,businessinsider.com,"left_center, "
216,Bust Magazine,bust.com,"left, "
217,Bustle Magazine,bustle.com,"left_center, "
218,Buzzfeed,buzzfeed.com/news,"left_center, "
219,buzzfeedusa,buzzfeedusa.com,", fake news, fake, rumor, "
220,bvanews,bvanews.com,", unreliable, bias, fake, seems like a combination of totally fake and unreliable reports of 'real' news"
221,C-SPAN,c-span.org,"least_biased, "
222,Center for a Stateless Society,c4ss.org,"right_center, "
223,Calgary Herald,calgaryherald.com,"left_center, "
224,Calgary Sun,calgarysun.com,"right_center, "
225,Call the Cops,callthecops.net,"satire, satire, "
226,Campaign Life Coalition,campaignlifecoalition.com,"right, "
227,Canada Free Press,canadafreepress.com,"right, conspiracy, bias, "
228,Canadian Dimension,canadiandimension.com,"left, "
229,cannasos,cannasos.com,", some fake stories, fake, unreliable, "
230,Cap News,cap-news.com,"satire, fake, "
231,California Political Review,capoliticalreview.com,"right_center, "
232,Carbonated TV,carbonated.tv,"left, "
233,Carnegie Endowment for International Peace,carnegieendowmentforinternationalpeace.com,"least_biased, "
234,Carolina Public Press,carolinapublicpress.org,"left_center, "
235,Castanet,castanet.net,"least_biased, "
236,Cato Institute,cato.org,"right_center, "
237,cato.org/blog,cato.org/blog,", political, reliable, "
238,Regulation Magazine,cato.org/regulation,"right_center, "
239,CBC News,cbc.ca/news,"left_center, "
240,Congressional Budget Office (CBO),cbo.gov,"least_biased, "
241,CBS News,cbsnews.com.co,"left_center, fake, "
242,CCTV America,cctv-america.com,"left_center, "
243,Committee for Economic Development,ced.org,"least_biased, "
244,Competitive Enterprise Institute,cei.org,"right_center, "
245,CelebTriCity,celebtricity.com,"satire, satire, "
246,Censored.News,censored.news,"questionable, "
247,Center for Advanced Defense Studies,centerforadvanceddefensestudies.com,"least_biased, "
248,Center for a New American Security,centerforanewamericansecurity.com,"least_biased, "
249,Center for Global Development,centerforglobaldevelopment.com,"least_biased, "
250,Center for Inquiry,centerforinquiry.net,"least_biased, "
251,Center for the National Interest,centerforthenationalinterest.com,"right_center, "
252,Council on Foreign Relations,cfr.org,"right_center, "
253,Change.org,change.org,"left, "
254,channel-7-news,channel-7-news.com,", fake, "
255,channel18news,channel18news.com,", imposter site, fake, "
256,Charisma News,charismanews.com,"pseudoscience, bias, minimal factual reporting despite being ""news'"
257,Charlotte Observer,charlotteobserver.com,"left_center, "
258,chaser,chaser.com.au,", satire, "
259,checkoutthehealthyworld,checkoutthehealthyworld.com,", junksci, clickbait, "
260,Chicago Sun Times,chicago.suntimes.com,"left_center, "
261,Chicago Reader,chicagoreader.com,"left, "
262,Chicago Tribune,chicagotribune.com,"left_center, "
263,Chicks on the Right,chicksontheright.com,"right, clickbait, bias, "
264,China Daily,chinadaily.com.cn,"least_biased, "
265,christianfightback,christianfightback.com,", hate, bias, "
266,Christianity Today,christianitytoday.com,"right_center, "
267,Christian Post,christianpost.com,"right, reliable, political, "
268,Christian Times Newspaper,christiantimesnewspaper.com,"pseudoscience, imposter site, rumor, bias, fake, "
269,christiantoday,christiantoday.info,", fake news, "
270,Christwire,christwire.org,"satire, satire, "
271,The Chronicle of Higher Education,chronicle.com,"least_biased, "
272,chronicle,chronicle.su,", satire, "
273,Internet Chronicle,chronicle.su,"satire, "
274,chroniclesmagazine,chroniclesmagazine.org,", political, from what I gather, like the opposite of Jacobin (paleoconservative) "
275,Chronicles of Democracy,chroniclesofdemocracy.com,"left, "
276,Cincinnati Enquirer,cincinnati.com,"right_center, "
277,Center for International Policy,ciponline.org,"left_center, "
278,Circa News,circa.com,"least_biased, "
279,Center for Immigration Studies (CIS),cis.org,"questionable, "
280,Asheville Citizen-Times,citizen-times.com,"left_center, "
281,Citizens United,citizensunited.org,"right, bias, loaded language etc."
282,City Journal,city-journal.org,"right, political, "
283,City and State New York,cityandstateny.com,"least_biased, "
284,CityWorldNews,cityworldnews.com,"questionable, fake, "
285,Civic Tribune,civictribune.com,"satire, imposter site, fake, "
286,Clarion Project,clarionproject.org,"questionable, "
287,Clash Daily,clashdaily.com,"questionable, fake news, fake, conspiracy, bias, "
288,Clean Technica,cleantechnica.com,"left_center, "
289,The Plain Dealer,cleveland.com/plaindealer,"left_center, "
290,Clickhole,clickhole.com,"satire, satire, "
291,Climate Action Tracker,climateactiontracker.org,"pro_science, "
292,Climate Central,climatecentral.org,"pro_science, "
293,Climate Depot,climatedepot.com,"pseudoscience, "
294,Climate Feedback,climatefeedback.org,"pro_science, "
295,The Climate Reality Project,climaterealityproject.org,"left, "
296,CNBC,cnbc.com,"left_center, "
297,CNET,cnet.com,"pro_science, "
298,CNN,cnn.com,"left_center, "
299,Cnn.com.de,cnn.com.de,"questionable, "
300,cnnews3,cnnews3.com,", imposter site, fake, "
301,cnnnext,cnnnext.com,", unreliable, basically an RT video channel"
302,CNS News,cnsnews.com,"right, unreliable, bias, The news arm of Media Research Center (a conservative org that is frequently criticized for use of selective evidence)"
303,Coast to Coast AM,coasttocoastam.com,"pseudoscience, unreliable, "
304,coed,coed.com,", some fake stories, fake, unreliable, "
305,Cold Dead Hands,colddeadhands.us,"right, "
306,Collective-Evolution,collective-evolution.com,"pseudoscience, junksci, "
307,Collectively Conscious,collectivelyconscious.net,"pseudoscience, junksci, conspiracy, "
308,Communities Digital News,commdiginews.com,"right_center, "
309,Commentary Magazine,commentarymagazine.com,"right, political, "
310,Common Dreams,commondreams.org,"left, political, clickbait, "
311,Commonwealth Fund,commonwealthfund.org,"left_center, "
312,concisepolitics,concisepolitics.com,", conspiracy, hate, "
313,Conflict News,conflict-news.com,"least_biased, "
314,Congress.gov,congress.gov,"least_biased, "
315,Conscious Life News,consciouslifenews.com,"pseudoscience, junksci, "
316,Conservapedia,conservapedia.com,"questionable, bias, "
317,Conservation Magazine,conservationmagazine.org,"least_biased, "
318,Council of Concerned Citizens,conservative-headlines.com,"questionable, "
319,Conservative 101,conservative101.com,"questionable, "
320,Conservative Base,conservativebase.com,"right, "
321,conservativebyte,conservativebyte.com,", fake, bias, "
322,Conservative Daily News,conservativedailynews.com,"right, "
323,Conservative Daily Post,conservativedailypost.com,"questionable, fake news, fake, unreliable, This website is a weird mix of outright fake news and some stuff that looks more reliable."
324,Conservative Fighters,conservativefighters.com,"questionable, fake, "
325,conservativefiringline,conservativefiringline.com,", bias, conspiracy, clickbait, "
326,conservativeflashnews,conservativeflashnews.com,", fake news, fake, "
327,conservativeinfidel,conservativeinfidel.com,", fake, conspiracy, "
328,Conservative Info Corner,conservativeinfocorner.com,"questionable, fake news, "
329,Conservative Outfitters,conservativeoutfitters.com,"right, unreliable, clickbait, "
330,conservativepapers,conservativepapers.com,", bias, incorrect/uncited data, citing other sources labeled as bias"
331,Conservative Post,conservativepost.com,"questionable, "
332,conservativerefocus,conservativerefocus.com,", conspiracy, "
333,Conservative Review,conservativereview.com,"right, political, "
334,Conservative Spirit,conservativespirit.com,"questionable, fake news, bias, fake, "
335,conservativestate,conservativestate.com,", bias, links to other borderline fake, but mostly just propagandistic websites"
336,Conservative Tribune,conservativetribune.com,"questionable, bias, conspiracy, unreliable, "
337,Consortium News,consortiumnews.com,"least_biased, reliable, The authors on this website are pretty reliable and the articles appear well researched"
338,Conspiracy Planet,conspiracyplanet.com,"pseudoscience, conspiracy, "
339,conspiracywire,conspiracywire.com,", conspiracy, "
340,The Constitution,constitution.com,"questionable, "
341,Constitution Project,constitutionproject.org,"least_biased, "
342,Consumerist,consumerist.com,"least_biased, "
343,Contrail Science,contrailscience.com,"pro_science, "
344,Controversial Times,controversialtimes.com,"right, "
345,Cook Political Report,cookpolitical.com,"least_biased, "
346,The Corbett Report,corbettreport.com,"pseudoscience, conspiracy, "
347,Cosmopolitan,cosmopolitan.com,"left, "
348,Council for the National Interest,councilforthenationalinterest.org,"left_center, "
349,Countdown to Zerotime,countdowntozerotime.com,"pseudoscience, conspiracy, "
350,Counter Current News,countercurrentnews.com,"pseudoscience, bias, "
351,countercurrents,countercurrents.org,", political, unreliable, This site is pretty explicit about it's p.o.v. and is coming from a political perspective but doesn't fit under how we are defining 'bias'"
352,counterinformation.wordpress,counterinformation.wordpress.com,", political, "
353,counterjihad,counterjihad.com,", bias, "
354,CounterPsyOps,counterpsyops.com,"pseudoscience, conspiracy, "
355,CounterPunch,counterpunch.org,"left, political, explicit POV - legit authors"
356,The Courier-Journal,courier-journal.com,"left_center, "
357,The Courier-Mail,couriermail.com.au,"right_center, "
358,cowgernation,cowgernation.com,", bias, conspiracy, "
359,Committee to Protect Journalists,cpj.org,"least_biased, "
360,Cracked,cracked.com,"satire, "
361,Cream BMP,creambmp.com,"satire, satire, fake, "
362,Credo Action,credoaction.com,"left_center, "
363,Committee for a Responsible Federal Budget,crfb.org,"least_biased, "
364,Crime Prevention Research Center,crimeresearch.org,"right, "
365,CrimethInc,crimethinc.com,"left, "
366,International Crisis Group,crisisgroup.org,"left_center, "
367,Crooks and Liars,crooksandliars.com,"left, "
368,Crosscut.com,crosscut.com,"left_center, "
369,cryptogon,cryptogon.com,", conspiracy, unreliable, copy-pasted commentary from various news & 'news' sources"
370,crystalair,crystalair.com,", satire, redirects to http://www.cap-news.com/"
371,CSC Mediagroup USA,cscmediagroupus.com,"right, "
372,CS Globe,csglobe.com,"pseudoscience, "
373,Committee for Skeptical Inquiry,csicop.org,"pro_science, "
374,Skeptical Inquirer,csicop.org/si,"pro_science, "
375,Center For Strategic and International Studies,csis.org,"least_biased, "
376,Christian Science Monitor,csmonitor.com,"least_biased, "
377,Citizens for Tax Justice,ctj.org,"left_center, "
378,CTV News,ctvnews.ca,"left_center, "
379,Current Affairs Magazine,currentaffairs.org,"left, "
380,Daily Buzz Live,dailybuzzlive.com,"questionable, fake, "
381,Daily Caller,dailycaller.com,"right, political, clickbait, bias, a weird mix of info. they link to extremely biased sites (as sources) and more reliable/balanced sources"
382,The Daily Climate,dailyclimate.org,"left_center, "
383,Daily Currant,dailycurrant.com,"satire, satire, "
384,The Daily Discord,dailydiscord.com,"satire, satire, "
385,Daily Dot,dailydot.com,"left, "
386,Daily Headlines,dailyheadlines.net,"questionable, fake, "
387,Daily Infobox,dailyinfobox.com,"questionable, fake news, fake, "
388,dailyken,dailyken.com,", hate, "
389,Daily Kos,dailykos.com,"left, political, clickbait, "
390,dailyleak,dailyleak.org,", satire, fake, "
391,Daily Mail,dailymail.co.uk/ushome/index.html,"right, "
392,Los Angeles Daily News,dailynews.com,"right_center, "
393,dailynews10,dailynews10.com,", imposter site, fake, "
394,dailynews5,dailynews5.com,", imposter site, fake, "
395,Daily News Bin,dailynewsbin.com,"left, bias, clickbait, "
396,dailynewsposts,dailynewsposts.info,", fake news, fake, "
397,Daily Occupation,dailyoccupation.com,"pseudoscience, conspiracy, bias, "
398,dailypoliticsusa,dailypoliticsusa.com,", bias, "
399,Daily Press,dailypress.com,"right_center, "
400,Daily Record,dailyrecord.com,"least_biased, "
401,Daily Sabah,dailysabah.com,"right, "
402,Daily Signal,dailysignal.com,"right, bias, "
403,dailysnark,dailysnark.com,", parody site, satire, "
404,Daily Squib,dailysquib.co.uk,"satire, satire, "
405,Daily Star UK,dailystar.co.uk,"pseudoscience, "
406,Daily Stormer,dailystormer.com,"questionable, hate, conspiracy, bias, pretty well known neo-nazi site"
407,Daily Surge,dailysurge.com,"right, fake news, fake, "
408,The Daily Tarheel,dailytarheel.com,"left_center, "
409,Daily Telegraph,dailytelegraph.com.au,"right_center, bias, rumor, australian tabloid mag"
410,The Daily Telegraph (Australia),dailytelegraph.com.au,"right, "
411,dailyusaupdate,dailyusaupdate.com,", fake news, fake, "
412,The Daily Wire,dailywire.com,"right, bias, "
413,Dallas Morning News,dallasnews.com,"right_center, "
414,Dallas Voice,dallasvoice.com,"left, "
415,damnleaks,damnleaks.com,", fake news, fake, "
416,The Dandy Goat,dandygoat.com,"satire, satire, "
417,Danger and Play,dangerandplay.com,"questionable, "
418,darkmoon,darkmoon.me,", hate, bias, "
419,darkpolitricks,darkpolitricks.com,", bias, conspiracy, "
420,Data Asylum,dataasylum.com,"pseudoscience, conspiracy, junksci, "
421,davejanda,davejanda.com,", unreliable, "
422,davidduke,davidduke.com,", hate, "
423,David Icke,davidicke.com,"pseudoscience, "
424,davidstockmanscontracorner,davidstockmanscontracorner.com,", political, "
425,David Wolfe,davidwolfe.com,"pseudoscience, conspiracy, "
426,dcclothesline,dcclothesline.com,", conspiracy, junksci, "
427,The D.C. Clothesline,dcclothesline.com,"questionable, "
428,DC Gazette,dcgazette.com,"questionable, fake, "
429,dcleaks,dcleaks.com,", unreliable, "
430,DCReport.org,dcreport.org,"left_center, "
431,DC Statesman,dcstatesman.com,"right, "
432,Deadline Hollywood,deadline.com,"left_center, "
433,deadlinelive,deadlinelive.info,", political, conspiracy, "
434,deadlyclear.wordpress,deadlyclear.wordpress.com,", bias, fake news, Not a personal website, owned by Project Maui, Inc. Makes unverifiable extraordinary claims, seems to be advertising for lawyers with a history of legal reprimands."
435,Dead State,deadstate.org,"left, "
436,DeathandTaxes,deathandtaxes.com,"left, "
437,Debate Post,debatepost.com,"right, "
438,debunkingskeptics,debunkingskeptics.com,", bias, conspiracy, Science doesn't mean what they think it means"
439,SCEPCOP (Debunking Skeptics),debunkingskeptics.com,"pseudoscience, "
440,defenddemocracy.press,defenddemocracy.press,", bias, political, editorial board as stated on about us seem to be legitimate academics, and originally authored content byline are academics, although not able to find a clear link between edu pages and these authors' work on this website. Many 3rd party articles are linked, sources provided. These articles are aggregated from other more clearly biased sites i.e. world socialist web site (wswg.org), rt.com, sputniknews.com."
441,Defense One,defenseone.com,"least_biased, "
442,Democracy Now,democracynow.org,"left, "
443,Democrat and Chronicle,democratandchronicle.com,"left_center, "
444,The Democratic Hub,democratichub.com,"left, "
445,democraticmoms,democraticmoms.com,", fake news, "
446,Democratic Review,democraticreview.com,"questionable, "
447,dennismichaellynch,dennismichaellynch.com,", political, "
448,Denver Guardian,denverguardian.com,"questionable, fake, "
449,denverinquirer,denverinquirer.com,", imposter site, "
450,Denver Post,denverpost.com,"left_center, "
451,departed,departed.co,", fake, redirects to dcposts.com"
452,departedmedia,departedmedia.com,", fake news, fake, "
453,der-postillon,der-postillon.com,", satire, German language site"
454,Derf Magazine,derfmagazine.com,"satire, satire, "
455,Deseret News,deseretnews.com,"right_center, "
456,Desert Sun,desertsun.com,"right_center, "
457,Detroit News,detroitnews.com,"right_center, "
458,Die Hard Democrat,dieharddemocrat.com,"left, "
459,Digg,digg.com,"left_center, "
460,dineal,dineal.com,", junksci, "
461,Disclose TV,disclose.tv,"pseudoscience, fake news, satire, conspiracy, "
462,disclosuremedia,disclosuremedia.net,", conspiracy, "
463,Discover Magazine,discovermagazine.com,"pro_science, "
464,Discover the Networks,discoverthenetworks.org,"questionable, "
465,Discovery Institute,discovery.org,"pseudoscience, "
466,Disobedient Media,disobedientmedia.com,"right, "
467,Columbus Dispatch,dispatch.com,"right_center, "
468,Dissent Magazine,dissentmagazine.org,"left, political, "
469,diversitychronicle.wordpress,diversitychronicle.wordpress.com,", satire, self-labled: https://diversitychronicle.wordpress.com/disclaimer/"
470,diyhours,diyhours.net,", fake news, fake, "
471,dollarvigilante,dollarvigilante.com,", bias, anarcho-capitalist blog"
472,Donald Trump News,donaldtrumpnews.co,"questionable, fake, "
473,donaldtrumppotus45,donaldtrumppotus45.com,", fake news, fake, "
474,dont-tread-on,dont-tread-on.me,", conspiracy, doesn't seem to be updating anymore"
475,Doubtful News,doubtfulnews.com,"pro_science, "
476,Downtrend,downtrend.com,"questionable, fake, satire, "
477,Draining the Swamp,drainingtheswamp.info,"questionable, "
478,drrichswier,drrichswier.com,", hate, bias, "
479,Drudge Retort,drudgereport.com.co,"left, fake, "
480,Duffel Blog,duffleblog.com,"satire, satire, "
481,Duh Progressives,duhprogressive.com,"satire, satire, "
482,Dutch Daily News,dutchdailynews.com,"left_center, "
483,dutchsinse,dutchsinse.com,", conspiracy, weather control"
484,Eagle Rising,eaglerising.com,"questionable, bias, clickbait, "
485,Eagle Tribune,eagletribune.com,"least_biased, "
486,Earth Institute,earth.columbia.edu/sections/view/9,"least_biased, "
487,Earth First! Journal,earthfirstjournal.org,"left, "
488,Earth Magazine,earthmagazine.org,"pro_science, "
489,East Bay Times,eastbaytimes.com,"left_center, "
490,Bay Area Reporter,ebar.com,"left, "
491,ebolahoax,ebolahoax.com,", conspiracy, domain for sale"
492,economicnoise,economicnoise.com,", political, unreliable, sites some problematic sources, like CNS news"
493,The Economic Times,economictimes.indiatimes.com,"left_center, "
494,The Economist,economist.com,"least_biased, "
495,Economy in Crisis,economyincrisis.org,"left, "
496,EcoWatch,ecowatch.com,"pseudoscience, political, this site claims junksci, but I read over a dozen articles w/o finding any. probably should re-check soon https://mediabiasfactcheck.com/ecowatch/"
497,Edmonton Journal,edmontonjournal.com,"left_center, "
498,Edmonton Sun,edmontonsun.com,"right_center, "
499,Educate-Yourself,educate-yourself.org,"pseudoscience, conspiracy, junksci, "
500,educateinspirechange.org/health,educateinspirechange.org/health,", clickbait, junksci, "
501,electionnightgatekeepers,electionnightgatekeepers.com,", conspiracy, unreliable, "
502,Electronic Intifada,electronicintifada.net,"left, "
503,elelephantintheroom.blogspot,elelephantintheroom.blogspot.com,", bias, "
504,Elisabeth Parker,elisabethparker.com,"left, "
505,Elite Daily,elitedaily.com,"left, "
506,elitereaders,elitereaders.com,", clickbait, "
507,elkoshary,elkoshary.com,", satire, About Me notes that it's not fake/satirical news"
508,elmundotoday,elmundotoday.com,", satire, About Me notes that it's not fake/satirical news"
509,El Pais,elpais.com/elpais/inenglish.html,"left_center, "
510,El Paso Times,elpasotimes.com,"left_center, "
511,Embols,embols.com,"questionable, fake, "
512,Emirates 24/7,emirates247.com,"left_center, "
513,Empire Herald,empireherald.com,"questionable, imposter site, fake, satire, "
514,Empire News,empirenews.net,"satire, parody site, fake, "
515,empiresports,empiresports.co,", parody site, satire, "
516,Empty Wheel,emptywheel.net,"left_center, political, commentary on current events/news"
517,En Volve,en-volve.com,"questionable, fake news, fake, "
518,Bbarta24,en.bbarta24.net,"least_biased, "
519,MercoPress,en.mercopress.com,"least_biased, "
520,Metapedia,en.metapedia.org/wiki/Main_Page,"questionable, "
521,Vatican Radio,en.radiovaticana.va,"questionable, "
522,enabon,enabon.com,", fake, No authors, no contact, just copy/pasted from other questionable sites"
523,Encyclopedia Dramatica,encyclopediadramatica.se/Main_Page,"satire, "
524,Ending the Fed News,endingthefed.com,"questionable, bias, "
525,endoftheamericandream,endoftheamericandream.com,", Conspiracy, Fake, Political, Traffics in religious conspiracy theories and poorly sourced pro-Trump propaganda"
526,endtime,endtime.com,", bias, clickbait, Political, Not sure about this one. zany religious prophecy/not really conspiracy | I would classify this as ""religious clickbait,"" with all of its reporting coming through a fundamentalist Christian filter-- thus the ""extreme bias."""
527,End Time Headlines,endtimeheadlines.org,"pseudoscience, "
528,Enduring Vision,enduringvision.com,"satire, fake, "
529,Al Majalla,eng.majalla.com,"least_biased, "
530,Engadget,engadget.com,"left_center, "
531,Asharq Al-Awsat,english.aawsat.com,"least_biased, "
532,Ahram Online,english.ahram.org.eg,"least_biased, "
533,Al Arabiya,english.alarabiya.net,"least_biased, "
534,enhlive,enhlive.com,", fake news, fake, "
535,Esquire Magazine,esquire.com,"left, "
536,EU Observer,euobserver.com,"left_center, "
537,Euractiv,euractiv.com,"left_center, "
538,Eurasia Group,eurasiagroup.net,"least_biased, "
539,Euronews,euronews.com,"least_biased, "
540,eutimes,eutimes.net,", hate, conspiracy, "
541,The European Union Times,eutimes.net,"pseudoscience, "
542,eutopia.buzz,eutopia.buzz,", fake, satire, conspiracy, "
543,Evening Harold,eveningharold.com,"satire, "
544,Every CRS Report,everycrsreport.com,"least_biased, "
545,Everyday Feminism,everydayfeminism.com,"left, "
546,Every News Here,everynewshere.com,"pseudoscience, "
547,Evolution News and Views,evolutionnews.org,"pseudoscience, "
548,Evonomics,evonomics.com,"left, "
549,ewao,ewao.com,", junksci, "
550,Environmental Working Group (EWG),ewg.org,"pseudoscience, "
551,experimentalvaccines,experimentalvaccines.org,", junksci, conspiracy, "
552,expose1933,expose1933.com,", conspiracy, hate, references to ""white genocide"" and ""race mixing"""
553,Daily Express,express.co.uk,"right, "
554,express,express.co.uk,", rumor, well-known tabloid"
555,extraclubmagazine,extraclubmagazine.com,", bias, clickbait, fake, vacillates between outright fake and misleading stories"
556,eyeopening,eyeopening.info,", conspiracy, junksci, "
557,SciCheck,factcheck.org/scicheck,"pro_science, "
558,FactsCan,factscan.ca,"least_biased, "
559,Fairness & Accuracy in Reporting (FAIR),fair.org,"left_center, "
560,The Federation for American Immigration Reform,fairus.org,"questionable, "
561,FairVote,fairvote.org,"left_center, "
562,The Fake News Codex,fakenewscodex.com,"least_biased, "
563,fakingnews,fakingnews.com,", fake, satire, fiction disclaimer on bottom of home screen"
564,Family Security Matters,familysecuritymatters.org,"right, conspiracy, bias, "
565,Family Survival Headlines,familysurvivalheadlines.com,"pseudoscience, "
566,farmwars,farmwars.info,", fake news, conspiracy, Much of the site is focused on anti-GMO conspiracies, with political conspiracies coming in as a close second. There are some apparent attempts to source some wild claims, but the use of unstable URLs-- intentionally or otherwise-- thwarts this."
567,Federation of American Scientists (FAS),fas.org,"pro_science, "
568,Federalist Press,federalistpress.com,"right, bias, "
569,Federalist Tribune,federalisttribune.com,"questionable, fake news, "
570,fedsalert,fedsalert.com,", fake news, fake, "
571,Foundation for Economic Education,fee.org,"right_center, "
